specimen,tax_name,tax_id,rank,tally,placements
p1z1r2,Lactobacillus,1578,genus,15519.0,544
p1z1r34,Gardnerella,2701,genus,7479.0,371
p1z2r19,Lactobacillus,1578,genus,7429.0,259
p4z2r29,Lactobacillus,1578,genus,6498.0,133
p4z1r79,Lactobacillus,1578,genus,4434.0,101
p4z1r37,Lactobacillus,1578,genus,4264.0,142
p4z1r40,Lactobacillus,1578,genus,3713.0,91
p1z1r34,Sneathia,168808,genus,3592.0,178
p4z2r34,Lactobacillus,1578,genus,3379.0,53
p1z1r34,Atopobium,1380,genus,3279.0,172
p1z1r34,Prevotella,838,genus,2958.0,194
p4z1r15,Prevotella,838,genus,2781.0,117
p2z1r40,Lactobacillus,1578,genus,2719.0,155
p4z2r25,Lactobacillus,1578,genus,2696.0,73
p4z2r33,Lactobacillus,1578,genus,2643.0,64
p4z2r6,Lactobacillus,1578,genus,2572.0,63
p4z2r15,Lactobacillus,1578,genus,2569.0,78
p1z1r34,Megasphaera,906,genus,2540.0,159
p4z2r13,Lactobacillus,1578,genus,2538.0,80
p4z2r61,Lactobacillus,1578,genus,2484.0,38
p4z2r3,Lactobacillus,1578,genus,2468.0,105
p4z1r9,Lactobacillus,1578,genus,2452.0,138
p2z1r31,Lactobacillus,1578,genus,2442.0,155
p4z2r9,Lactobacillus,1578,genus,2409.0,45
p4z2r67,Lactobacillus,1578,genus,2403.0,118
p4z1r14,Lactobacillus,1578,genus,2304.0,76
p4z2r21,Lactobacillus,1578,genus,2300.0,92
p4z2r10,Clostridiales,186802,order,2284.0,68
p4z2r32,Lactobacillus,1578,genus,2235.0,81
p4z2r77,Lactobacillus,1578,genus,2214.0,49
p4z2r17,Lactobacillus,1578,genus,2204.0,60
p4z1r32,Lactobacillus,1578,genus,2183.0,90
p4z2r68,Lactobacillus,1578,genus,2052.0,41
p4z1r19,Lactobacillus,1578,genus,2051.0,29
p4z1r47,Lactobacillus,1578,genus,2050.0,45
p4z2r69,Lactobacillus,1578,genus,2045.0,49
p4z2r80,Lactobacillus,1578,genus,2028.0,50
p4z1r33,Lactobacillus,1578,genus,2026.0,130
p3z1r10,Lactobacillus,1578,genus,1996.0,69
p4z1r5,Lactobacillus,1578,genus,1968.0,43
p4z2r39,Lactobacillus,1578,genus,1952.0,98
p2z1r30,Sneathia,168808,genus,1927.0,143
p2z1r42,Sneathia,168808,genus,1906.0,131
p4z2r12,Lactobacillus,1578,genus,1887.0,74
p4z2r28,Lactobacillus,1578,genus,1885.0,62
p4z2r50,Lactobacillus,1578,genus,1873.0,40
p4z2r73,Lactobacillus,1578,genus,1837.0,35
p4z2r31,Lactobacillus,1578,genus,1803.0,59
p3z1r34,Lactobacillus,1578,genus,1724.0,62
p4z1r63,Prevotella,838,genus,1724.0,85
p2z1r35,Lactobacillus,1578,genus,1710.0,110
